date,rain_fc_t1_mm,rain_fc_t2_mm,rain_fc_t3_mm,rain_fc_sum3_mm,weather_fc_source
2022-01-01,0.7,0.3,0.6,1.6,openmeteo_archive
2022-01-02,0.3,0.6,0.0,0.9,openmeteo_archive
2022-01-03,0.6,0.0,0.5,1.1,openmeteo_archive
2022-01-04,0.0,0.5,1.4,1.9,openmeteo_archive
2022-01-05,0.5,1.4,1.0,2.9,openmeteo_archive
2022-01-06,1.4,1.0,0.1,2.5,openmeteo_archive
2022-01-07,1.0,0.1,0.0,1.1,openmeteo_archive
2022-01-08,0.1,0.0,1.2,1.3,openmeteo_archive
2022-01-09,0.0,1.2,0.5,1.7,openmeteo_archive
2022-01-10,1.2,0.5,0.9,2.6,openmeteo_archive
2022-01-11,0.5,0.9,1.2,2.6,openmeteo_archive
2022-01-12,0.9,1.2,0.6,2.7,openmeteo_archive
2022-01-13,1.2,0.6,1.9,3.7,openmeteo_archive
2022-01-14,0.6,1.9,1.8,4.3,openmeteo_archive
2022-01-15,1.9,1.8,0.2,3.9,openmeteo_archive
2022-01-16,1.8,0.2,0.1,2.1,openmeteo_archive
2022-01-17,0.2,0.1,0.0,0.3,openmeteo_archive
2022-01-18,0.1,0.0,0.0,0.1,openmeteo_archive
2022-01-19,0.0,0.0,0.0,0.0,openmeteo_archive
2022-01-20,0.0,0.0,0.0,0.0,openmeteo_archive
2022-01-21,0.0,0.0,2.5,2.5,openmeteo_archive
2022-01-22,0.0,2.5,0.0,2.5,openmeteo_archive
2022-01-23,2.5,0.0,0.8,3.3,openmeteo_archive
2022-01-24,0.0,0.8,0.1,0.9,openmeteo_archive
2022-01-25,0.8,0.1,0.3,1.2,openmeteo_archive
2022-01-26,0.1,0.3,1.0,1.4,openmeteo_archive
2022-01-27,0.3,1.0,5.3,6.6,openmeteo_archive
2022-01-28,1.0,5.3,0.3,6.6,openmeteo_archive
2022-01-29,5.3,0.3,0.0,5.6,openmeteo_archive
