date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M
2015-01-01,25.0,29.03,22.5,1.79,88.47,12.19,2.18
2015-01-02,25.08,29.57,22.07,0.07,87.09,16.01,1.89
2015-01-03,25.15,29.6,21.79,0.07,86.97,17.55,1.61
2015-01-04,24.9,29.54,21.73,0.0,85.96,18.1,1.76
2015-01-05,24.68,29.6,21.28,0.0,85.53,18.81,2.21
2015-01-06,24.35,29.19,20.62,0.0,83.96,19.46,2.21
2015-01-07,23.9,29.06,19.75,0.0,83.91,18.87,2.3
2015-01-08,24.33,29.04,21.01,0.0,83.24,15.74,1.65
2015-01-09,23.96,28.42,20.85,0.01,83.39,13.43,2.28
2015-01-10,23.04,28.18,19.39,0.0,77.76,20.48,2.91
2015-01-11,22.41,27.9,17.88,0.0,77.16,19.18,3.1
2015-01-12,22.52,28.11,17.97,0.0,74.53,19.54,3.05
2015-01-13,22.59,28.38,17.26,0.0,77.9,20.69,2.92
2015-01-14,22.77,28.59,18.06,0.0,74.01,20.12,2.63
2015-01-15,22.83,28.86,17.54,0.0,76.33,20.77,2.26
2015-01-16,24.24,29.83,19.98,0.87,82.02,17.26,2.75
2015-01-17,24.46,29.32,21.28,0.43,81.63,16.36,2.95
2015-01-18,23.78,29.32,19.46,0.0,78.94,17.9,2.93
2015-01-19,23.36,29.01,18.8,0.0,76.6,17.53,2.88
2015-01-20,23.3,29.13,18.48,0.0,77.83,18.77,2.67
2015-01-21,23.13,28.83,19.25,0.0,78.1,17.23,2.9
2015-01-22,23.85,29.58,19.27,0.27,81.92,19.51,3.35
2015-01-23,24.99,29.92,21.92,3.84,81.59,11.02,2.97
2015-01-24,25.09,29.71,22.17,0.51,80.25,16.44,3.28
2015-01-25,24.38,30.17,20.4,0.04,73.73,21.66,3.19
2015-01-26,24.3,29.49,20.85,0.29,76.88,17.52,3.23
2015-01-27,24.77,30.38,20.79,0.05,76.53,12.85,3.22
2015-01-28,24.98,30.56,20.93,0.04,77.28,16.14,3.09
2015-01-29,25.32,30.82,21.3,0.08,75.8,15.91,2.92
2015-01-30,25.27,30.77,21.48,0.0,73.71,12.71,2.88
2015-01-31,24.66,30.63,20.15,0.0,73.64,20.26,3.22
2015-02-01,24.78,30.52,20.45,0.05,75.63,18.95,3.23
2015-02-02,24.49,30.3,19.79,0.02,72.99,18.95,3.66
2015-02-03,25.13,29.96,21.4,0.07,72.08,18.35,4.01
2015-02-04,24.63,28.59,21.67,0.19,75.96,14.69,3.63
2015-02-05,25.29,30.87,21.23,0.16,73.68,18.59,3.44
2015-02-06,25.0,30.07,21.71,0.03,74.43,18.33,2.94
2015-02-07,25.11,31.17,20.99,0.05,70.67,20.46,2.96
2015-02-08,25.31,31.86,20.89,0.01,69.75,21.15,2.76
2015-02-09,25.12,31.26,20.46,0.05,70.96,21.29,3.03
2015-02-10,24.98,29.58,21.52,0.29,75.18,16.13,3.25
2015-02-11,25.88,31.0,21.94,0.21,76.8,18.89,3.3
2015-02-12,26.38,32.11,22.31,0.04,74.07,22.11,3.46
2015-02-13,26.7,33.07,22.4,0.01,72.84,22.17,2.76
2015-02-14,25.92,33.23,20.65,0.0,70.94,23.24,2.32
2015-02-15,25.81,33.18,20.53,0.0,67.72,23.65,2.12
2015-02-16,25.78,33.15,20.77,0.0,68.83,23.05,2.16
2015-02-17,25.56,33.22,20.36,0.0,65.72,23.78,1.93
2015-02-18,25.37,33.11,19.43,0.0,65.65,22.05,1.99
2015-02-19,25.64,33.47,20.21,0.0,63.21,23.78,1.96
2015-02-20,25.5,32.97,20.2,0.0,66.91,23.7,2.8
2015-02-21,25.95,33.14,21.03,0.0,68.17,22.96,3.16
2015-02-22,25.95,33.43,20.07,0.0,67.53,24.17,3.31
2015-02-23,25.9,33.84,19.92,0.0,64.42,25.42,2.93
2015-02-24,26.08,33.74,19.74,0.05,65.59,25.22,2.81
2015-02-25,27.3,34.16,21.65,0.1,69.87,23.6,2.57
2015-02-26,28.02,34.53,23.28,0.62,69.22,20.48,2.12
2015-02-27,28.9,35.44,24.04,0.25,66.41,19.98,1.73
2015-02-28,28.63,34.32,24.5,0.15,67.99,20.92,2.48
2015-03-01,28.79,35.2,24.25,0.05,66.1,19.51,2.87
2015-03-02,29.02,35.47,24.35,0.02,65.93,20.34,2.54
2015-03-03,28.94,35.52,24.11,0.0,63.19,20.24,2.27
2015-03-04,29.39,36.69,23.75,0.03,60.19,21.3,1.98
2015-03-05,29.13,35.47,24.47,0.16,69.14,20.05,2.43
2015-03-06,29.44,36.07,24.59,0.07,66.09,20.52,2.44
2015-03-07,29.18,35.73,24.96,0.1,63.43,20.22,2.7
2015-03-08,28.49,34.95,23.79,0.04,65.93,20.18,2.59
2015-03-09,28.46,35.04,23.9,0.02,65.23,21.9,2.7
2015-03-10,27.62,34.48,22.3,0.0,60.83,22.5,3.14
