stage,horizon,quantile_coverage,cqr_coverage,quantile_width,cqr_width,n
establishment,1,0.975609756097561,0.9634146341463414,68.915375,65.47626499473687,164
establishment,2,0.9390243902439024,0.9390243902439024,70.64068,67.6105651706966,164
establishment,3,0.926829268292683,0.9207317073170732,71.18906,70.30503562299944,164
flowering,1,0.960431654676259,0.9244604316546763,67.57198,64.13554966722462,278
flowering,2,0.9460431654676259,0.9244604316546763,70.476654,67.45207310103685,278
flowering,3,0.935251798561151,0.9172661870503597,72.48239,71.66018784327687,278
grain_filling,1,0.9938837920489296,0.908256880733945,66.64442,63.21054330934443,327
grain_filling,2,0.9724770642201835,0.9143730886850153,67.655075,64.63298652636531,327
grain_filling,3,0.9724770642201835,0.9388379204892966,69.687675,68.9080277923342,327
panicle_initiation,1,0.9482071713147411,0.9322709163346613,74.70572,71.2743630098418,251
panicle_initiation,2,0.9322709163346613,0.9243027888446215,77.296524,74.27378879724984,251
panicle_initiation,3,0.9083665338645418,0.900398406374502,75.64413,74.86091299135609,251
ripening,1,0.984779299847793,0.867579908675799,66.14697,62.70635539773756,657
ripening,2,0.9561128526645768,0.890282131661442,68.74467,65.72070697274701,638
ripening,3,0.9450726978998385,0.901453957996769,71.08231,70.33827208487399,619
stem_elongation,1,0.8766233766233766,0.8246753246753247,73.614426,70.17769278682671,308
stem_elongation,2,0.8571428571428571,0.7987012987012987,80.60695,77.58653738593127,308
stem_elongation,3,0.7727272727272727,0.7727272727272727,84.91983,84.11975984885322,308
tillering,1,0.9903147699757869,0.9685230024213075,66.99306,63.55863283839411,413
tillering,2,0.9757869249394673,0.9588377723970944,67.087135,64.0619607227016,413
tillering,3,0.9564164648910412,0.9491525423728814,68.55036,67.76500425061649,413
