season_id,date,pred_q05_h1,pred_q05_h2,pred_q05_h3,pred_q50_h1,pred_q50_h2,pred_q50_h3,pred_q95_h1,pred_q95_h2,pred_q95_h3,y_true_h1,y_true_h2,y_true_h3,stage,wl_obs_mm,rain_fc_sum3_mm,rain_sum3,season_name,system_action,reference_action,gated,interval_width,rule
Kuruvai-2015,2015-06-22,-24.791334,-26.889536,-30.146439,0.10896064,-5.445163,-11.320266,50.218903,49.08633,48.691654,-2.23,-5.56,-11.53,establishment,1.54,2.16,0.29000000000000004,Kuruvai,DELAY,IRRIGATE,False,78.83809280395508,threshold_delay
Kuruvai-2015,2015-06-23,-27.86682,-31.030025,-33.031906,-3.2977607,-10.010127,-10.319423,47.52291,47.2264,48.963665,-5.56,-11.53,41.93,establishment,-5.6,0.43,2.25,Kuruvai,DELAY,DELAY,False,81.99557113647461,threshold_delay
Kuruvai-2015,2015-06-24,-32.603683,-33.183285,-34.4033,-13.098381,-17.83196,-18.271534,48.671158,50.606422,50.557568,-11.53,41.93,35.68,establishment,-9.12,0.38,2.3,Kuruvai,IRRIGATE,DELAY,False,84.96086883544922,threshold_irrigate
Kuruvai-2015,2015-06-25,-36.22917,-39.406128,-41.33376,-16.904308,-22.399412,-28.972082,51.17395,56.05496,53.817665,41.93,35.68,28.94,establishment,-15.93,5.82,2.4,Kuruvai,INSPECT,MAINTAIN,True,95.46108627319336,uncertainty_gate
Kuruvai-2015,2015-06-26,5.6950674,1.7326105,-1.9740394,43.05322,37.17798,29.747564,66.098915,63.427116,59.20314,35.68,28.94,22.47,establishment,53.34,2.41,0.43,Kuruvai,MAINTAIN,MAINTAIN,False,61.6945059299469,maintain
Kuruvai-2015,2015-06-27,-5.039248,-9.09765,-11.205401,32.745953,27.532108,22.784939,58.610855,56.21168,57.066963,28.94,22.47,17.18,establishment,37.17,2.19,0.63,Kuruvai,MAINTAIN,MAINTAIN,False,68.27236461639404,maintain
Kuruvai-2015,2015-06-28,-5.860268,-9.18974,-10.920593,27.368986,24.284843,20.292938,57.44047,53.926804,55.142147,22.47,17.18,10.08,establishment,33.37,8.02,0.95,Kuruvai,MAINTAIN,MAINTAIN,False,66.06274032592773,maintain
Kuruvai-2015,2015-06-29,-15.623455,-17.273005,-18.309416,17.248137,11.717298,12.260872,51.57247,48.07326,45.691296,17.18,10.08,3.45,tillering,20.02,1.2700000000000002,1.88,Kuruvai,MAINTAIN,MAINTAIN,False,67.19592666625977,maintain
Kuruvai-2015,2015-06-30,-16.342396,-19.241938,-20.75116,12.69794,7.392021,1.1607885,50.58898,46.392708,44.75135,10.08,3.45,-3.76,tillering,16.25,0.76,2.09,Kuruvai,MAINTAIN,MAINTAIN,False,66.93137741088867,maintain
Kuruvai-2015,2015-07-01,-23.136929,-25.510765,-29.679256,4.2582903,-3.7610083,-11.030767,43.903572,36.20484,41.385384,3.45,-3.76,-10.31,tillering,6.51,0.54,2.23,Kuruvai,MAINTAIN,MAINTAIN,False,71.06464004516602,maintain
Kuruvai-2015,2015-07-02,-32.969444,-35.747242,-38.18432,-7.4449286,-13.014289,-20.328136,40.937218,30.236115,29.936123,-3.76,-10.31,-16.31,tillering,-9.81,1.74,1.33,Kuruvai,MAINTAIN,MAINTAIN,False,73.90666198730469,maintain
Kuruvai-2015,2015-07-03,-34.918175,-36.872272,-40.749096,-15.939299,-21.57934,-27.593956,40.068565,28.757696,20.360107,-10.31,-16.31,-22.78,tillering,-10.65,0.37,0.8400000000000001,Kuruvai,MAINTAIN,MAINTAIN,False,74.98674011230469,maintain
Kuruvai-2015,2015-07-04,-38.09966,-40.316875,-43.457684,-19.140532,-28.639345,-32.91007,37.006615,26.642912,19.844442,-16.31,-22.78,-29.21,tillering,-19.36,0.14,0.49,Kuruvai,MAINTAIN,MAINTAIN,False,75.10627365112305,maintain
Kuruvai-2015,2015-07-05,-44.498497,-47.479076,-50.87543,-30.916952,-33.208855,-39.83416,21.782618,17.16464,15.4542265,-22.78,-29.21,-35.0,tillering,-27.56,0.11,0.45000000000000007,Kuruvai,MAINTAIN,MAINTAIN,False,66.32965755462646,maintain
Kuruvai-2015,2015-07-06,-47.315937,-48.57116,-52.695232,-34.716747,-36.873802,-44.726265,11.256636,16.15671,13.71958,-29.21,-35.0,-41.22,tillering,-28.76,4.9799999999999995,0.29,Kuruvai,MAINTAIN,MAINTAIN,False,66.4148120880127,maintain
Kuruvai-2015,2015-07-07,-45.710728,-48.366177,-51.021156,-35.443542,-37.40079,-39.834476,15.068595,17.028471,14.599057,-35.0,-41.22,-46.96,tillering,-22.59,11.44,0.11000000000000001,Kuruvai,MAINTAIN,MAINTAIN,False,65.62021350860596,maintain
Kuruvai-2015,2015-07-08,-51.215824,-56.31732,-59.10397,-42.66346,-47.94595,-52.942963,10.725199,8.031171,7.8517146,-41.22,-46.96,-51.52,tillering,-35.22,0.47,0.09,Kuruvai,MAINTAIN,MAINTAIN,False,66.95568418502808,maintain
Kuruvai-2015,2015-07-09,-52.987667,-57.365055,-61.694946,-48.663666,-52.47088,-54.89882,9.753074,8.364854,7.365168,-46.96,-51.52,-56.68,tillering,-34.77,1.53,0.22999999999999998,Kuruvai,MAINTAIN,MAINTAIN,False,69.06011438369751,maintain
Kuruvai-2015,2015-07-10,-57.597744,-59.066364,-63.689228,-45.08003,-52.367233,-53.810295,8.53853,8.364854,7.365168,-51.52,-56.68,-61.59,tillering,-44.91,2.23,0.35,Kuruvai,MAINTAIN,MAINTAIN,False,71.05439615249634,maintain
Kuruvai-2015,2015-07-11,-58.919163,-61.618538,-66.025,-48.54385,-57.04265,-53.949257,8.397089,8.031171,7.365168,-56.68,-61.59,-66.06,tillering,-47.61,4.35,0.49,Kuruvai,MAINTAIN,MAINTAIN,False,73.39016962051392,maintain
Kuruvai-2015,2015-07-12,-67.51986,-72.97456,-76.862305,-62.448303,-62.74596,-69.3276,-1.5349904,1.7019802,3.2272234,-61.59,-66.06,-70.59,tillering,-61.18,2.47,1.13,Kuruvai,MAINTAIN,MAINTAIN,False,80.08952808380127,maintain
Kuruvai-2015,2015-07-13,-69.89118,-74.01427,-78.95222,-65.00203,-69.33078,-69.610916,-1.2660661,2.0356634,3.400712,-66.06,-70.59,-74.23,tillering,-58.97,0.96,2.0100000000000002,Kuruvai,MAINTAIN,MAINTAIN,False,82.35292911529541,maintain
Kuruvai-2015,2015-07-14,-70.89599,-73.84209,-78.05266,-65.51951,-68.50973,-74.16729,-1.6416527,1.7019802,3.2272234,-70.59,-74.23,-78.48,tillering,-62.42,1.81,2.14,Kuruvai,MAINTAIN,MAINTAIN,False,81.27988147735596,maintain
Kuruvai-2015,2015-07-15,-76.57364,-80.41705,-84.23233,-73.53154,-76.501,-79.46029,-8.52592,0.9721037,1.8530908,-74.23,-78.48,-82.25,tillering,-73.47,9.39,2.0,Kuruvai,MAINTAIN,MAINTAIN,False,86.08542108535767,maintain
Kuruvai-2015,2015-07-16,-78.03825,-82.91778,-88.47818,-74.42096,-83.43913,-86.483505,-8.646122,0.9721037,1.8530908,-78.48,-82.25,-85.59,tillering,-71.43,2.52,1.2400000000000002,Kuruvai,INSPECT,MAINTAIN,True,90.33127069473267,uncertainty_gate
Kuruvai-2015,2015-07-17,-82.761734,-85.9159,-89.3137,-77.33339,-82.02294,-87.382286,-8.646122,0.9721037,1.8530908,-82.25,-85.59,-88.98,tillering,-75.65,4.88,1.35,Kuruvai,INSPECT,MAINTAIN,True,91.16678857803345,uncertainty_gate
Kuruvai-2015,2015-07-18,-91.04608,-93.0234,-95.83666,-86.75308,-90.35609,-89.92499,-8.794318,0.9721037,1.8530908,-85.59,-88.98,-93.71,tillering,-85.0,2.3,2.13,Kuruvai,INSPECT,MAINTAIN,True,97.68975305557251,uncertainty_gate
Kuruvai-2015,2015-07-19,-93.0277,-96.13922,-99.711105,-91.475685,-91.8187,-94.53901,-8.794318,0.4944043,1.8530908,-88.98,-93.71,-93.15,stem_elongation,-91.2,6.68,2.3200000000000003,Kuruvai,INSPECT,MAINTAIN,True,101.56419610977173,uncertainty_gate
Kuruvai-2015,2015-07-20,-98.9957,-99.24492,-103.640816,-95.49305,-96.99497,-103.77204,-8.794318,0.91094446,1.8530908,-93.71,-93.15,-95.37,stem_elongation,-94.9,12.920000000000002,2.1900000000000004,Kuruvai,INSPECT,MAINTAIN,True,105.49390649795532,uncertainty_gate
Kuruvai-2015,2015-07-21,-98.75488,-97.33455,-95.316216,-92.462715,-98.632454,-95.38987,-8.794318,0.6134572,1.9134645,-93.15,-95.37,-97.78,stem_elongation,-93.28,8.19,5.800000000000001,Kuruvai,INSPECT,MAINTAIN,True,97.94800615310669,uncertainty_gate
Kuruvai-2015,2015-07-22,-98.85326,-104.36539,-101.88467,-99.470985,-100.005585,-102.21823,-8.794318,0.6134572,1.6941104,-95.37,-97.78,-101.62,stem_elongation,-91.51,3.74,7.510000000000001,Kuruvai,INSPECT,MAINTAIN,True,104.978844165802,uncertainty_gate
Kuruvai-2015,2015-07-23,-100.80119,-108.876274,-105.44096,-104.7579,-104.53254,-101.47173,-8.794318,0.6134572,1.6941104,-97.78,-101.62,-101.78,stem_elongation,-99.33,7.670000000000001,9.06,Kuruvai,INSPECT,MAINTAIN,True,109.4897313117981,uncertainty_gate
Kuruvai-2015,2015-07-24,-105.09779,-107.94057,-112.501854,-110.75482,-107.2794,-108.05182,-8.794318,1.3099047,1.6941104,-101.62,-101.78,-104.36,stem_elongation,-97.65,10.57,4.570000000000001,Kuruvai,INSPECT,MAINTAIN,True,114.19596433639526,uncertainty_gate
Kuruvai-2015,2015-07-25,-106.78328,-109.68259,-108.788414,-110.54906,-105.6612,-105.91155,-8.794318,1.3099047,1.6941104,-101.78,-104.36,-106.66,stem_elongation,-98.77,11.15,6.550000000000002,Kuruvai,INSPECT,MAINTAIN,True,110.99249136447906,uncertainty_gate
Kuruvai-2015,2015-07-26,-113.31613,-117.347626,-106.41978,-110.80231,-109.6809,-107.14797,-8.794318,1.3099047,1.6941104,-104.36,-106.66,-107.47,stem_elongation,-98.69,9.48,6.240000000000001,Kuruvai,INSPECT,MAINTAIN,True,118.65753042697906,uncertainty_gate
Kuruvai-2015,2015-07-27,-112.10461,-107.92616,-96.60517,-111.07286,-106.53093,-105.58741,-8.794318,1.0299975,1.6941104,-106.66,-107.47,-108.09,stem_elongation,-96.6,6.430000000000001,7.840000000000002,Kuruvai,INSPECT,MAINTAIN,True,108.95616018772125,uncertainty_gate
Kuruvai-2015,2015-07-28,-110.335396,-111.2819,-104.25434,-111.37683,-108.62081,-106.558174,-8.794318,1.0299975,1.6941104,-107.47,-108.09,-111.62,stem_elongation,-100.28,4.3100000000000005,7.190000000000001,Kuruvai,INSPECT,MAINTAIN,True,112.31189596652985,uncertainty_gate
Kuruvai-2015,2015-07-29,-122.3858,-115.9071,-103.77308,-113.619156,-110.35067,-106.53677,-8.794318,0.6134572,1.6941104,-108.09,-111.62,-115.17,stem_elongation,-112.48,4.68,8.97,Kuruvai,INSPECT,MAINTAIN,True,116.52055406570435,uncertainty_gate
