model,horizon,season,MAE,RMSE,R2,n
persistence,1,Kuruvai-2015,8.757767857142857,18.88163849673615,0.8508979030472033,112
random_forest,1,Kuruvai-2015,5.267794742280385,13.708241824483823,0.9214098878248378,112
adaboost,1,Kuruvai-2015,9.982447628534242,17.182515277748788,0.8765253306458558,112
xgboost_q50,1,Kuruvai-2015,5.580240849102183,12.860168347241297,0.9308331970579935,112
persistence,1,Kuruvai-2016,7.9106250000000005,15.155587224094711,0.8781304202812131,112
random_forest,1,Kuruvai-2016,5.623680247384347,11.01063476282532,0.935675785691094,112
adaboost,1,Kuruvai-2016,8.717282129957363,12.967297511560918,0.9107827717232738,112
xgboost_q50,1,Kuruvai-2016,5.523139894093786,10.220483370625448,0.9445766658375596,112
persistence,1,Kuruvai-2017,7.153482142857143,17.024319448323666,0.9016139332551087,112
random_forest,1,Kuruvai-2017,5.217686144399818,10.474007906422226,0.9627591252295664,112
adaboost,1,Kuruvai-2017,11.059598226286028,16.127721182316897,0.9117041905271621,112
xgboost_q50,1,Kuruvai-2017,5.383657565755504,9.442096880509645,0.9697356756054765,112
persistence,1,Kuruvai-2018,10.041696428571429,18.739488458295,0.7788891588838778,112
random_forest,1,Kuruvai-2018,7.183574354232634,13.705179202556629,0.8817328828579993,112
adaboost,1,Kuruvai-2018,10.361052243941819,15.074456542995957,0.8569203392290137,112
xgboost_q50,1,Kuruvai-2018,6.646879047615719,15.40145333206073,0.8506456135733778,112
persistence,1,Kuruvai-2019,8.204910714285715,16.757173330717634,0.8982783599545806,112
random_forest,1,Kuruvai-2019,5.714312250484691,11.271437347527415,0.9539774760336153,112
adaboost,1,Kuruvai-2019,7.9607510638923396,13.327946752724218,0.9356515147957225,112
xgboost_q50,1,Kuruvai-2019,5.750044674532753,11.197090261917522,0.9545826084137625,112
persistence,1,Kuruvai-2020,7.260535714285715,12.519333619874274,0.866270879051864,112
random_forest,1,Kuruvai-2020,6.339769214059351,10.933200447373881,0.8980098606667931,112
adaboost,1,Kuruvai-2020,10.055733111411614,14.463175418725188,0.8215194599160378,112
xgboost_q50,1,Kuruvai-2020,6.737370242561613,14.846195620898788,0.8119410869396672,112
persistence,1,Kuruvai-2021,7.305178571428571,13.480221357868826,0.7887023063006222,112
random_forest,1,Kuruvai-2021,5.648226168802475,12.613307449943472,0.8150055613029719,112
adaboost,1,Kuruvai-2021,8.39937153894123,16.571812550156956,0.6806692554414424,112
xgboost_q50,1,Kuruvai-2021,5.7709177686094435,13.124110984179875,0.7997186556235787,112
persistence,1,Kuruvai-2022,7.729374999999999,13.009501644402613,0.8557288978590442,112
random_forest,1,Kuruvai-2022,5.4524115885083555,10.725065219397033,0.901947671283462,112
adaboost,1,Kuruvai-2022,8.065654662112435,12.97244644133793,0.85654958747255,112
xgboost_q50,1,Kuruvai-2022,5.089052532911301,9.466306502348791,0.9236130529505756,112
persistence,1,Kuruvai-2023,8.193839285714287,19.264069000714407,0.7736793104980756,112
random_forest,1,Kuruvai-2023,5.603727957902486,13.755566831214963,0.8846054787364703,112
adaboost,1,Kuruvai-2023,10.260184274119,17.001830937781886,0.8237132813797357,112
xgboost_q50,1,Kuruvai-2023,5.579280734807253,14.649222398148899,0.8691248019464913,112
persistence,1,Kuruvai-2024,7.992678571428572,18.687512637358363,0.8849484138723014,112
random_forest,1,Kuruvai-2024,4.940730614816624,9.266426753420152,0.9717112207932953,112
adaboost,1,Kuruvai-2024,10.303086450448735,14.737438211729428,0.9284460511508027,112
xgboost_q50,1,Kuruvai-2024,4.862087586820125,8.832207454219429,0.9743002952273959,112
persistence,1,Samba-2015,5.868098591549296,8.964240186021126,0.9765660658868892,142
random_forest,1,Samba-2015,3.329442911787227,7.064721484235489,0.9854451301622946,142
adaboost,1,Samba-2015,5.974689235635371,9.425152751739162,0.9740943179703423,142
xgboost_q50,1,Samba-2015,3.3955706695981434,6.543517283344595,0.9875134993707738,142
persistence,1,Samba-2016,7.847464788732395,16.39139520052269,0.862886834931526,142
random_forest,1,Samba-2016,7.706148553233537,14.882491738076714,0.8869687283628557,142
adaboost,1,Samba-2016,11.157635233555618,19.59823042387252,0.8039887346011321,142
xgboost_q50,1,Samba-2016,7.147871285372637,16.31704242536861,0.864127927845341,142
persistence,1,Samba-2017,6.017535211267606,13.427483928416645,0.9399410869770582,142
random_forest,1,Samba-2017,4.019965787627669,8.617626774599746,0.9752620591068071,142
adaboost,1,Samba-2017,6.891915026662913,10.32661232548454,0.9644774665346573,142
xgboost_q50,1,Samba-2017,4.265272681813844,8.890478533832471,0.9736707516648487,142
persistence,1,Samba-2018,6.886549295774648,11.642736265435152,0.9414590472336807,142
random_forest,1,Samba-2018,5.1075020624720855,9.35784499688811,0.9621817558460477,142
adaboost,1,Samba-2018,7.610233609939771,12.19987105120776,0.9357223267716173,142
xgboost_q50,1,Samba-2018,4.960691076563279,9.446906698403868,0.9614584728453284,142
persistence,1,Samba-2019,6.207042253521125,7.852042256994914,0.8948861856048248,142
random_forest,1,Samba-2019,2.9196072928787187,3.8282511114530986,0.9750140783150728,142
adaboost,1,Samba-2019,4.942843044601243,6.314888440176778,0.9320129957350557,142
xgboost_q50,1,Samba-2019,2.725045574886698,3.7143677816057363,0.9764785361150196,142
persistence,1,Samba-2020,7.194859154929578,11.468012186997656,0.92695746519265,142
random_forest,1,Samba-2020,4.388685552526989,8.908919687586836,0.9559191832925836,142
adaboost,1,Samba-2020,7.2615321142375375,10.900121903865228,0.9340124119395721,142
xgboost_q50,1,Samba-2020,4.309193398381622,7.845476220003621,0.965814796830768,142
persistence,1,Samba-2021,5.79669014084507,8.9396666683297,0.9511170005412911,142
random_forest,1,Samba-2021,3.5211598685669796,5.508624340816802,0.9814389941067447,142
adaboost,1,Samba-2021,5.833017994939669,8.73338913599735,0.9533468665698572,142
xgboost_q50,1,Samba-2021,3.4487660753223257,5.349193096881792,0.9824978361193978,142
persistence,1,Samba-2022,6.293239436619717,9.560884513268443,0.9551598891311116,142
random_forest,1,Samba-2022,3.952388977947576,7.078688034562674,0.9754203282443624,142
adaboost,1,Samba-2022,6.14401703020931,9.378214368297208,0.9568569499939789,142
xgboost_q50,1,Samba-2022,4.127233388256019,7.07287731506328,0.9754606653679295,142
persistence,1,Samba-2023,7.719859154929579,15.110700154358486,0.9094586716389056,142
random_forest,1,Samba-2023,4.444105447592887,10.011546205273058,0.9602552290653591,142
adaboost,1,Samba-2023,7.321708439693358,11.385677507430383,0.9485961741917389,142
xgboost_q50,1,Samba-2023,4.151572021120031,9.676761088319406,0.9628689078238388,142
persistence,2,Kuruvai-2015,13.847027027027028,25.847855017564008,0.7228209956134071,111
random_forest,2,Kuruvai-2015,7.8195936006538895,18.216949545888216,0.8623226102898357,111
adaboost,2,Kuruvai-2015,13.498164072535907,19.728935597779717,0.8385200439055357,111
xgboost_q50,2,Kuruvai-2015,7.6667245430130135,18.58694774109179,0.8566731790381001,111
persistence,2,Kuruvai-2016,12.813693693693693,20.835845239558843,0.7711935847267772,111
random_forest,2,Kuruvai-2016,7.86348136390162,14.899940831601157,0.8829921394060783,111
