label,model,horizon,MAE,R2,perc_delta,kc_delta
perc-30%_kc-30%,persistence,1,5.997,0.903,-0.3,-0.3
perc-30%_kc-30%,persistence,2,8.633,0.821,-0.3,-0.3
perc-30%_kc-30%,persistence,3,11.22,0.727,-0.3,-0.3
perc-30%_kc-30%,random_forest,1,3.738,0.958,-0.3,-0.3
perc-30%_kc-30%,random_forest,2,5.227,0.93,-0.3,-0.3
perc-30%_kc-30%,random_forest,3,6.218,0.914,-0.3,-0.3
perc-30%_kc-30%,xgboost,1,3.631,0.964,-0.3,-0.3
perc-30%_kc-30%,xgboost,2,5.236,0.933,-0.3,-0.3
perc-30%_kc-30%,xgboost,3,6.72,0.899,-0.3,-0.3
perc-30%_kc-15%,persistence,1,6.638,0.889,-0.3,-0.15
perc-30%_kc-15%,persistence,2,9.912,0.788,-0.3,-0.15
perc-30%_kc-15%,persistence,3,13.101,0.683,-0.3,-0.15
perc-30%_kc-15%,random_forest,1,4.534,0.941,-0.3,-0.15
perc-30%_kc-15%,random_forest,2,6.365,0.901,-0.3,-0.15
perc-30%_kc-15%,random_forest,3,7.626,0.874,-0.3,-0.15
perc-30%_kc-15%,xgboost,1,4.27,0.947,-0.3,-0.15
perc-30%_kc-15%,xgboost,2,5.71,0.912,-0.3,-0.15
perc-30%_kc-15%,xgboost,3,7.427,0.873,-0.3,-0.15
perc-30%_kc+0%,persistence,1,7.076,0.881,-0.3,0.0
perc-30%_kc+0%,persistence,2,10.948,0.775,-0.3,0.0
perc-30%_kc+0%,persistence,3,14.348,0.674,-0.3,0.0
perc-30%_kc+0%,random_forest,1,5.102,0.931,-0.3,0.0
perc-30%_kc+0%,random_forest,2,6.744,0.893,-0.3,0.0
perc-30%_kc+0%,random_forest,3,8.453,0.857,-0.3,0.0
perc-30%_kc+0%,xgboost,1,4.769,0.94,-0.3,0.0
perc-30%_kc+0%,xgboost,2,6.362,0.899,-0.3,0.0
perc-30%_kc+0%,xgboost,3,8.593,0.851,-0.3,0.0
perc-30%_kc+15%,persistence,1,7.536,0.887,-0.3,0.15
perc-30%_kc+15%,persistence,2,11.756,0.785,-0.3,0.15
perc-30%_kc+15%,persistence,3,15.541,0.69,-0.3,0.15
perc-30%_kc+15%,random_forest,1,5.48,0.936,-0.3,0.15
perc-30%_kc+15%,random_forest,2,7.809,0.901,-0.3,0.15
perc-30%_kc+15%,random_forest,3,9.868,0.864,-0.3,0.15
perc-30%_kc+15%,xgboost,1,5.062,0.935,-0.3,0.15
perc-30%_kc+15%,xgboost,2,6.726,0.913,-0.3,0.15
perc-30%_kc+15%,xgboost,3,8.861,0.869,-0.3,0.15
perc-30%_kc+30%,persistence,1,8.112,0.872,-0.3,0.3
perc-30%_kc+30%,persistence,2,12.833,0.755,-0.3,0.3
perc-30%_kc+30%,persistence,3,17.075,0.646,-0.3,0.3
perc-30%_kc+30%,random_forest,1,6.124,0.92,-0.3,0.3
perc-30%_kc+30%,random_forest,2,8.203,0.887,-0.3,0.3
perc-30%_kc+30%,random_forest,3,10.132,0.853,-0.3,0.3
perc-30%_kc+30%,xgboost,1,5.22,0.923,-0.3,0.3
perc-30%_kc+30%,xgboost,2,7.28,0.889,-0.3,0.3
perc-30%_kc+30%,xgboost,3,9.593,0.845,-0.3,0.3
perc-15%_kc-30%,persistence,1,6.205,0.892,-0.15,-0.3
perc-15%_kc-30%,persistence,2,8.997,0.798,-0.15,-0.3
perc-15%_kc-30%,persistence,3,11.614,0.699,-0.15,-0.3
perc-15%_kc-30%,random_forest,1,4.044,0.939,-0.15,-0.3
perc-15%_kc-30%,random_forest,2,5.544,0.907,-0.15,-0.3
perc-15%_kc-30%,random_forest,3,7.037,0.871,-0.15,-0.3
perc-15%_kc-30%,xgboost,1,3.854,0.948,-0.15,-0.3
perc-15%_kc-30%,xgboost,2,5.371,0.912,-0.15,-0.3
perc-15%_kc-30%,xgboost,3,7.084,0.874,-0.15,-0.3
perc-15%_kc-15%,persistence,1,6.707,0.897,-0.15,-0.15
perc-15%_kc-15%,persistence,2,10.113,0.798,-0.15,-0.15
perc-15%_kc-15%,persistence,3,13.34,0.698,-0.15,-0.15
perc-15%_kc-15%,random_forest,1,4.718,0.942,-0.15,-0.15
perc-15%_kc-15%,random_forest,2,6.185,0.91,-0.15,-0.15
perc-15%_kc-15%,random_forest,3,7.454,0.892,-0.15,-0.15
perc-15%_kc-15%,xgboost,1,4.243,0.954,-0.15,-0.15
perc-15%_kc-15%,xgboost,2,5.834,0.912,-0.15,-0.15
perc-15%_kc-15%,xgboost,3,7.562,0.882,-0.15,-0.15
perc-15%_kc+0%,persistence,1,7.176,0.892,-0.15,0.0
perc-15%_kc+0%,persistence,2,11.014,0.796,-0.15,0.0
perc-15%_kc+0%,persistence,3,14.643,0.693,-0.15,0.0
perc-15%_kc+0%,random_forest,1,4.941,0.942,-0.15,0.0
perc-15%_kc+0%,random_forest,2,6.943,0.912,-0.15,0.0
