feature,mean_abs_shap
wl_obs_mm,18.615435
headroom_mm,12.890697
kc,3.4410174
rain_mm,3.0295355
wl_lag1,2.9697416
rain_fc_sum3_mm,1.8556305
gdd_fraction,1.7079704
rain_fc_t1_mm,1.4040458
rain_fc_t2_mm,1.3750166
rain_sum3,0.9826126
et_demand,0.8841869
et0_mm,0.8494205
et0_mean7,0.5924266
cum_gdd,0.50916016
das,0.49117622
wl_lag2,0.3733423
wl_delta1,0.3197809
wl_delta3,0.3176491
et0_mean3,0.28797373
rain_sum7,0.27176395
wl_lag3,0.248154
sm_obs_pct,0.1156895
sm_lag3,0.09546551
wl_lag7,0.09404492
stage_idx,0.08204525
sm_lag1,0.056199756
rain_fc_t3_mm,0.039876554
sm_delta3,0.019843236
dry_days,0.00094670116
